id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
ts42655,Wanted,SHOW,2016,TV-14,45,"['drama', 'action', 'crime']",['AU'],tt5193358,7.6,9.545,7.2
ts3844,Aquarius,SHOW,2015,TV-14,43,"['drama', 'crime', 'thriller', 'european']",['US'],tt4744218,7.1,11.944,6.8
ts53287,Roman Empire,SHOW,2016,TV-14,48,"['drama', 'history', 'war', 'documentation']",['US'],tt6233538,7.0,25.738,6.9
tm233465,The Bye Bye Man,MOVIE,2016,PG-13,96,"['thriller', 'fantasy', 'horror', 'drama']",['US'],tt4032232,4.3,22.899,5.2
ts42156,Degrassi: Next Class,SHOW,2016,TV-PG,24,"['drama', 'romance']",['CA'],tt10947610,6.8,18.683,7.1
tm136257,Beasts of No Nation,MOVIE,2015,R,137,"['war', 'drama']","['US', 'GH']",tt1365050,7.7,11.978,7.6
ts41906,The Disastrous Life of Saiki K.,SHOW,2016,TV-14,10,"['scifi', 'comedy', 'animation', 'fantasy']",['JP'],tt6354518,8.4,33.948,8.5
ts38116,Mobile Suit Gundam: Iron-Blooded Orphans,SHOW,2015,TV-MA,24,"['scifi', 'war', 'action', 'drama', 'animation']",['JP'],tt5344382,7.9,7.838,7.0
tm140843,Self/less,MOVIE,2015,PG-13,116,"['scifi', 'thriller', 'action', 'drama']",['US'],tt2157712,6.5,24.934,6.4
tm238722,Collateral Beauty,MOVIE,2016,PG-13,97,"['drama', 'romance']",['US'],tt4682786,6.7,25.719,7.3
ts35256,Chef's Table,SHOW,2015,TV-MA,50,['documentation'],['US'],tt4295140,8.5,16.397,7.9
ts53249,Trollhunters: Tales of Arcadia,SHOW,2016,TV-Y7,22,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama', 'family']",['US'],tt1734135,8.4,35.879,8.5
ts42043,March Comes in Like a Lion,SHOW,2016,TV-PG,25,"['drama', 'animation', 'comedy', 'romance']",['JP'],tt6074794,8.4,19.401,8.0
tm200690,The Forest,MOVIE,2016,R,95,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']",['US'],tt3387542,4.8,27.63,5.2
tm155102,Demonic,MOVIE,2015,R,83,"['thriller', 'horror']","['GB', 'US']",tt1841642,5.3,6.835,5.3
ts35577,God Eater,SHOW,2015,TV-14,23,"['scifi', 'animation', 'action']",['JP'],tt5240222,7.0,23.148,7.3
